AnimeId,Name,Genres,Type,Episodes,Score,Members,Studios,Aired
23933,Kyutai Panic Adventure!,"Action, Martial Arts, Shounen, Super Power",Special,1,4.8,1794,Unknown,2003
23935,Kyutai Panic Adventure Returns!,"Action, Shounen, Super Power",Special,1,5.03,1716,Unknown,2004
24363,Kitsune to Circus,"Comedy, Kids",Movie,1,5.3,310,Unknown,1948
25173,Xiao Kedou Zhao Mama,Kids,Movie,1,5.81,375,Unknown,1960
25461,Tatamp,Music,Movie,1,5.46,485,Unknown,2011
25965,Backkom 2,"Comedy, Kids",TV,52,5.81,555,RG Animation Studios,2007
25967,Backkom Sports,"Comedy, Kids, Sports",TV,52,5.78,496,RG Animation Studios,2009
25969,Clock,Dementia,Special,1,5.06,290,RG Animation Studios,1999
25971,Angel (Special),Dementia,Special,1,5.38,417,RG Animation Studios,2001
25973,I Love Picnic,"Kids, Comedy",Special,1,5.48,374,RG Animation Studios,2003
25975,I Love Sky,"Kids, Comedy",Special,1,5.42,369,RG Animation Studios,2004
25977,Contact 2,"Kids, Comedy, Sci-Fi",Special,1,5.52,317,RG Animation Studios,2006
